id,crop,landuse,area,lon,lat
relation/2048924,,vineyard,53857.540,10.7690463952385,45.3696649010386
way/151545854,,vineyard,21480.356,10.7588385639093,45.3646973712124
way/151545913,,vineyard,3129.426,10.7661192490022,45.3697139129806
way/151545936,grape,vineyard,53615.016,10.7834526753823,45.3698127172
way/151545966,grape,vineyard,17142.989,10.7752332546081,45.3467494681923
way/151546046,,vineyard,18061.084,10.7675684176334,45.367953748002
way/151546083,,vineyard,9173.991,10.7807756690982,45.3647400838559
way/151546088,grape,vineyard,7082.924,10.7601267349385,45.3712883492993
way/151546093,,vineyard,5364.088,10.7790603423938,45.3699433272522
way/151546111,grape,vineyard,8835.404,10.758770818741,45.3714702556281
way/151546149,,vineyard,1504.751,10.7732797552296,45.357954846258
way/151546192,grape,vineyard,4432.324,10.7601212677018,45.3728159607823
way/151546195,,vineyard,12678.173,10.7828136008301,45.3635866052477
way/151546328,,vineyard,4016.392,10.7656177374641,45.3699832398845
way/151546375,,vineyard,1484.567,10.7588376263665,45.3673239021823
way/151546529,grape,vineyard,14579.256,10.7576750667611,45.37231667596
way/151546576,grape,vineyard,4700.472,10.7577307832459,45.371200877379
way/151546720,,vineyard,4921.642,10.7760012279293,45.3697344231925
way/151546730,grape,vineyard,5715.473,10.7833621663089,45.3717329549442
way/151546732,grape,vineyard,5213.069,10.7526340660556,45.3717492215548
way/151546745,,vineyard,2992.601,10.7811390235786,45.3708058117011
way/151546759,,vineyard,14472.720,10.7789248013095,45.3592545824272
way/151546794,,vineyard,11746.494,10.7598919337136,45.3675239529577
way/151546830,,vineyard,8022.043,10.7772403357734,45.3688921637661
way/151546861,,vineyard,1973.433,10.7720515190596,45.3694356458362
way/151546932,grape,vineyard,5681.893,10.773370539481,45.3546973003927
way/151546942,grape,vineyard,19349.311,10.7602158561042,45.3721192848103
way/151546971,grape,vineyard,2265.455,10.7573009451715,45.370829428625
way/151546978,,vineyard,5412.455,10.777525039497,45.367714754478
way/151547168,,vineyard,13723.814,10.7712238737095,45.3686980177186
way/151547179,grape,vineyard,17221.093,10.7563446957404,45.3733326744194
way/151547186,,vineyard,15388.319,10.7767962416149,45.3669573859031
way/151547206,grape,vineyard,5996.802,10.7585983626279,45.3735896897719
way/151547246,,vineyard,17955.143,10.7678293316937,45.3535518894762
way/151547260,grape,vineyard,1515.689,10.7620873819609,45.372647727963
way/151547279,,vineyard,61221.030,10.7779060482913,45.3650306722941
way/151547289,,vineyard,1891.539,10.7593862343838,45.3694359160752
way/151547295,,vineyard,11299.653,10.7803857163359,45.3707134468398
way/151547310,,vineyard,26334.577,10.774998452895,45.3681142377854
way/151547383,,vineyard,22937.652,10.7775759122045,45.3707320631836
way/151547386,,vineyard,39939.252,10.7806865057826,45.3663584577896
way/151547390,,vineyard,7345.061,10.7780278922189,45.3718279594404
way/151547408,,vineyard,8003.723,10.759145465872,45.3381438164119
way/151547497,,vineyard,4012.135,10.7709132307885,45.3700908454157
way/151547508,,vineyard,2873.347,10.7574524855673,45.36677064985
way/151547513,,vineyard,4313.500,10.772526586542,45.3596134096004
way/151547515,,vineyard,7201.029,10.7774857500468,45.369534254445
way/151547520,grape,vineyard,8860.221,10.750483883521,45.3721944417511
way/151547524,,vineyard,12248.135,10.7797494084289,45.3732500355445
way/151547527,grape,vineyard,3883.351,10.7548889411366,45.3717886324189
way/151547535,,vineyard,25671.621,10.7729006799858,45.3687513287496
way/151547559,,vineyard,14051.426,10.7794667104038,45.3709449214807
way/151547562,,vineyard,13106.786,10.7807504045931,45.3725687178917
way/151547566,,vineyard,17275.956,10.7623757323215,45.3697530815103
way/151547637,,vineyard,12476.497,10.781984711893,45.3651642617837
way/151547676,,vineyard,18658.108,10.7777758577625,45.3684878080571
way/151547686,,vineyard,8075.755,10.7785666365783,45.3705758735938
way/151547699,,vineyard,35721.177,10.7815516387853,45.3689920535426
way/151547708,,vineyard,27623.345,10.7748712476045,45.3693344950559
way/151547711,,vineyard,18602.055,10.7795238119657,45.3684340618682
way/151547762,grape,vineyard,19897.645,10.749842076141,45.37321375845
way/151547774,,vineyard,34548.252,10.7833704730676,45.3654063766435
way/151547865,grape,vineyard,29830.578,10.7845459588787,45.3709516894489
way/151547912,,vineyard,10327.199,10.7550399428464,45.3608778098062
way/151547938,,vineyard,7799.484,10.7583329522933,45.3696997493886
way/151548055,,vineyard,18513.166,10.777709828615,45.3730377504498
way/177395704,,vineyard,3143.808,10.7773926629316,45.3740414792344
way/183395467,,vineyard,8005.108,10.7794138497007,45.3738187740445
way/185479620,grape,vineyard,30156.207,10.7808162222554,45.3781115148974
way/185479627,grape,vineyard,5525.490,10.7776901560744,45.3780822387248
way/185479641,grape,vineyard,33665.362,10.7787812706529,45.3876197849889
way/185943944,,vineyard,7607.640,10.7507144935885,45.4032329717956
way/191142692,grape,vineyard,5638.983,10.7596267118188,45.3811758852193
way/191142693,grape,vineyard,2688.726,10.7513502605855,45.3761818016954
way/191142696,grape,vineyard,79591.462,10.7573440544547,45.382198054815
way/191142698,grape,vineyard,47842.224,10.7612114548864,45.3826309805079
way/191142819,,vineyard,5040.800,10.7567690725391,45.3936064315337
way/191142854,grape,vineyard,5978.373,10.7524791711459,45.380769234679
way/191142856,,vineyard,35471.375,10.7740252359151,45.3761055039147
way/191142857,grape,vineyard,45187.105,10.7679802733629,45.3768952433705
way/191142871,,vineyard,3099.196,10.7537923942237,45.394747246841
way/191142877,grape,vineyard,40743.165,10.754217688888,45.3825952257755
way/191142894,,vineyard,108357.365,10.7614603348636,45.3777471572008
way/191142900,,vineyard,1987.723,10.7638746945856,45.3792097210211
way/191142902,,vineyard,2694.181,10.7699122772273,45.377903811137
way/191142914,grape,vineyard,27034.900,10.7490240644464,45.3747902581557
way/191142915,grape,vineyard,21729.924,10.7522841388239,45.3796791423079
way/191142920,,vineyard,17023.670,10.7504672030966,45.3800460936576
way/191142927,grape,vineyard,6734.352,10.7756448798705,45.3880092288571
way/191142928,grape,vineyard,18027.685,10.7521694284403,45.3783512216229
way/191142932,,vineyard,11605.056,10.7563133970184,45.3927082005077
way/191142935,grape,vineyard,25906.532,10.7504469177926,45.3786877439886
way/191142950,grape,vineyard,4200.158,10.7714373632178,45.3835866479147
way/191142955,grape,vineyard,42352.192,10.7821184455098,45.3793431704282
way/191142959,grape,vineyard,41559.134,10.754247133915,45.3905123743571
way/191142967,,vineyard,4867.953,10.7499700735395,45.3808067948164
way/191142968,,vineyard,9984.377,10.7501778660148,45.3914079422787
way/191142984,,vineyard,12358.891,10.7625634812699,45.3798885079921
way/191142985,,vineyard,5338.218,10.7589540780358,45.3841788884609
way/191142994,,vineyard,4218.844,10.75811493934,45.3860930465528
way/191142995,grape,vineyard,13170.665,10.778776645079,45.3911251752318
way/191143009,grape,vineyard,11804.511,10.7637330451927,45.3844927745193
way/191143031,,vineyard,35598.283,10.7546406352549,45.3936175336853
way/191143044,,vineyard,6193.902,10.7628189101179,45.3888551367457
way/191143046,grape,vineyard,20522.564,10.7777205089617,45.3895232836554
way/191143071,,vineyard,14116.547,10.7530304168363,45.3876035535258
way/191143077,grape,vineyard,10113.246,10.7580631042054,45.3750119318126
way/191143080,grape,vineyard,32078.581,10.7557495695717,45.3779109747135
way/191143090,,vineyard,8542.242,10.7573642934326,45.38455814936
way/191143093,,vineyard,8178.133,10.7513956613004,45.3857725825665
way/191143100,grape,vineyard,25768.724,10.7762949572093,45.3789580785649
way/191143101,,vineyard,34814.236,10.7554101675534,45.3890922147329
way/191143119,,vineyard,12311.017,10.7613947437294,45.3886991114887
way/191143126,,vineyard,17427.210,10.7622816742347,45.3870225293027
way/191143133,grape,vineyard,23856.653,10.768073695835,45.3823919361758
way/191143134,grape,vineyard,14214.317,10.7625520295086,45.3840975306938
way/191143136,grape,vineyard,16759.929,10.7574859517997,45.3778047336785
way/191143140,,vineyard,73701.812,10.7490804844968,45.3841633590597
way/191143148,,vineyard,17446.955,10.7549194677926,45.387171659428
way/191143154,,vineyard,42392.372,10.749988751915,45.3875317481242
way/191143157,grape,vineyard,9184.432,10.755243946004,45.3764454433097
way/191143163,,vineyard,18136.136,10.7795383428823,45.3745726947886
way/191143168,grape,vineyard,18550.537,10.7726972920525,45.3855968579248
way/191143179,,vineyard,26667.199,10.7809477867453,45.3762288423482
way/191143182,,vineyard,10507.807,10.758155137772,45.3934293688984
way/191143188,,vineyard,11758.447,10.7661551611632,45.3781422516441
way/191143195,grape,vineyard,15202.715,10.7656135536703,45.3815911251065
way/191143206,grape,vineyard,9361.113,10.7752855044779,45.3854508064423
way/191143208,,vineyard,30735.009,10.7752303786541,45.374661298228
way/191143212,grape,vineyard,22547.470,10.7528610173502,45.3816773269514
way/191143218,,vineyard,4667.783,10.7486810249106,45.3932886535539
