id,crop,landuse,area,lon,lat
way/160236294,,vineyard,11753.450,10.800331064312,45.4574603829769
way/160236342,,vineyard,8639.709,10.7916596896081,45.4458699411395
way/160236358,,vineyard,2496.298,10.7954781789709,45.4588121651246
way/160236704,,vineyard,4526.113,10.797154518024,45.4482492922287
way/160236900,,vineyard,5918.254,10.7983219519567,45.4603273149489
way/160237218,,vineyard,14737.586,10.793002674091,45.4466898045165
way/160237266,,vineyard,1418.784,10.7966200779742,45.4598853864835
way/160237385,grape,vineyard,33429.316,10.7903366770713,45.4687538659301
way/160237583,,vineyard,3569.835,10.7963136338283,45.4590803741848
way/160237625,,vineyard,7062.630,10.7975942942629,45.4609495535289
way/160237750,,vineyard,3042.153,10.7994485485081,45.4573493977807
way/160237766,,vineyard,13280.526,10.800484894343,45.456301917869
way/185943880,,vineyard,15934.972,10.7506243418343,45.4160782038556
way/185943881,,vineyard,6039.443,10.7524931428259,45.4036026228181
way/185943899,,vineyard,1917.414,10.7509217744809,45.4140072305135
way/185943910,,vineyard,8254.662,10.7546679999649,45.4192359957392
way/185943927,,vineyard,9925.427,10.7575210094572,45.4215690159701
way/185943929,,vineyard,29445.720,10.7528297471555,45.4193308058854
way/185943937,,vineyard,5888.583,10.7504528930282,45.4132762494724
way/185943940,,vineyard,8891.837,10.7500421101002,45.4041118737536
way/185943942,,vineyard,3847.902,10.7533780001261,45.4166743602982
way/185943944,,vineyard,7607.640,10.7507144935885,45.4032329717956
way/185943953,,vineyard,8199.813,10.7519616363303,45.4153899482616
way/185944047,,vineyard,2396.475,10.752514829647,45.4168662952974
way/185944075,,vineyard,8462.468,10.7543069081951,45.4215436824422
way/185944113,,vineyard,510.773,10.7514209052488,45.4147890831307
way/185944119,,vineyard,8446.726,10.7539620702567,45.418471142735
way/185944135,,vineyard,11981.379,10.7558448427828,45.4222487623887
way/185944144,,vineyard,11897.753,10.7513627349954,45.4227996660577
way/185944155,,vineyard,3548.371,10.7511793581396,45.4036342981684
way/186287991,grape,vineyard,13512.337,10.7761804548076,45.4511318874857
way/186288009,grape,vineyard,8667.994,10.7698832702857,45.459322206085
way/186288044,,vineyard,8894.718,10.7657909377644,45.4588271808172
way/186288047,grape,vineyard,4700.221,10.7814625937642,45.4746171039349
way/186288072,grape,vineyard,17802.356,10.7735698272713,45.4686749441563
way/186288091,,vineyard,7324.532,10.7503409974893,45.4295007972387
way/186288134,grape,vineyard,6811.354,10.7751386570352,45.4729119651004
way/186288160,,vineyard,80503.181,10.7581120420461,45.4595868765974
