id,crop,landuse,area,lon,lat
way/147596022,,vineyard,6481.569,10.8388905072475,45.4641132509045
way/147596025,,vineyard,8250.046,10.8548652036127,45.4547972246374
way/147596032,,vineyard,16470.422,10.871407133511,45.455571172191
way/147596036,,vineyard,5834.488,10.8439019375879,45.4588075023127
way/147596053,,vineyard,19967.140,10.8348017366273,45.4657887773471
way/147596054,,vineyard,22513.058,10.8395906340903,45.4701212663528
way/147596058,grape,vineyard,1640.125,10.8609221409574,45.4675485818994
way/147596061,,vineyard,26601.874,10.8378783352525,45.4634891401802
way/147596068,,vineyard,1319.564,10.844104450039,45.4607840197105
way/147596069,,vineyard,12806.582,10.8650174041714,45.4548991110439
way/147596072,,vineyard,53064.647,10.8737259988103,45.4615578560443
way/147596082,,vineyard,23237.618,10.8402136283801,45.4681233106179
way/147596087,,vineyard,16773.755,10.852500853125,45.4567822382453
way/147596100,,vineyard,6972.086,10.8540918230298,45.4579071696372
way/148071230,,vineyard,10420.856,10.8355531104271,45.4738861297975
way/148071405,,vineyard,2892.434,10.8473376605519,45.4772437856632
way/151536747,grape,vineyard,12201.959,10.8191992743488,45.4904865559661
way/151536981,grape,vineyard,8952.299,10.8195935058494,45.4958392092876
way/160236423,,vineyard,3300.870,10.8162712287537,45.4727436107315
way/160236666,,vineyard,7695.924,10.8113064189561,45.4651798553892
way/160236680,,vineyard,17607.428,10.8027848661678,45.462043336451
way/160237233,,vineyard,7055.212,10.8119467066845,45.4709475981571
way/160237408,,vineyard,14755.182,10.8304280273135,45.474267313331
way/160237600,,vineyard,14036.030,10.8504712270676,45.4489936252134
way/160237607,,vineyard,7606.294,10.8250631272856,45.4686512167007
way/160237620,,vineyard,5030.500,10.8034313631874,45.4692774202211
way/160237709,,vineyard,3204.509,10.8202226223797,45.4689221604366
way/160237839,,vineyard,7947.922,10.8166455116765,45.4738411768278
way/168359269,,vineyard,23178.221,10.8332770931823,45.4638152461149
way/169570503,grape,vineyard,33164.941,10.8136181379547,45.4839545879573
way/186288059,,vineyard,4729.732,10.7845705651072,45.4748343890002
way/186288183,grape,vineyard,117871.078,10.7788871057772,45.4774594857227
way/186288278,grape,vineyard,9611.465,10.7857717204577,45.4749964024147
way/220351173,,vineyard,22116.226,10.849676665933,45.4586824430693
way/265490170,,vineyard,5970.384,10.8962677783896,45.4659912867526
